2018,,,,,,,,,,,,,,,,
,,TEAM,POS,GMS,RUSHING,,,,RECEIVING,,,,FUMBLES,,PPG,FPTS
RK,NAME,,,,ATT,YDS,AVG,TD,TGTS,REC,YDS,TD,FUM,LST,,
1,Saquon Barkley,NYG,RB,16,261,1307,5,11,121,91,721,4,0,0,24.1,385.8
2,Christian McCaffrey,CAR,RB,16,219,1098,5,7,124,107,867,6,4,1,24.1,385.5
3,Todd Gurley II,LAR,RB,14,256,1251,4.9,17,81,59,580,4,1,1,26.6,372.1
4,Alvin Kamara SUS,NO,RB,15,194,883,4.6,14,105,81,709,4,1,0,23.6,354.2
5,Ezekiel Elliott,DAL,RB,15,304,1435,4.7,6,95,77,567,3,6,1,21.9,329.2
6,James Conner,PIT,RB,13,215,973,4.5,12,71,55,497,1,4,2,21.5,280
7,James White,NE,RB,16,94,425,4.5,5,123,87,751,7,0,0,17.3,276.6
8,Melvin Gordon III,LAC,RB,12,175,885,5.1,10,66,50,490,4,1,0,23,275.5
9,David Johnson,ARI,RB,16,258,940,3.6,7,76,50,446,3,3,2,15.4,246.6
10,Joe Mixon,CIN,RB,14,237,1168,4.9,8,55,43,296,1,0,0,17.4,243.4
11,Tarik Cohen,CHI,RB,16,99,444,4.5,3,91,71,725,5,7,3,14.6,233.94
12,Kareem Hunt,KC,RB,11,181,824,4.6,7,35,26,378,7,0,0,20.9,230.2
13,Phillip Lindsay,DEN,RB,15,192,1037,5.4,9,47,35,241,1,0,0,14.9,222.8
14,Kenyan Drake,MIA,RB,16,120,535,4.5,4,73,53,477,5,2,1,12.9,206.2
15,Chris Carson,SEA,RB,14,247,1151,4.7,9,24,20,163,0,3,2,14.4,201.4
16,Derrick Henry,TEN,RB,16,215,1059,4.9,12,18,15,99,0,1,1,12.6,201.36
17,Nick Chubb,CLE,RB,16,192,996,5.2,8,29,20,149,2,0,0,12.2,194.5
18,Tevin Coleman,ATL,RB,16,167,800,4.8,4,44,32,276,5,2,0,12.1,193.6
19,Adrian Peterson,WAS,RB,16,251,1042,4.2,7,26,20,208,1,3,2,11.8,189
20,Jordan Howard,CHI,RB,16,250,935,3.7,9,27,20,145,0,2,1,11.2,180
21,Marlon Mack IR,IND,RB,12,195,908,4.7,9,26,17,103,1,2,2,14.8,178.1
22,T.J. Yeldon,JAX,RB,14,104,414,4,1,77,55,487,4,1,1,12.4,173.1
23,Lamar Miller,HOU,RB,14,210,973,4.6,5,35,25,163,1,1,1,12.3,172.6
24,Aaron Jones,GB,RB,12,133,728,5.5,8,35,26,206,1,1,1,14.3,171.4
25,Austin Ekeler,LAC,RB,14,106,554,5.2,3,53,39,404,3,1,1,12.1,168.8
26,Matt Breida,SF,RB,14,153,814,5.3,3,31,27,261,2,1,1,11.6,162.5
27,Nyheim Hines,IND,RB,16,85,314,3.7,2,81,63,425,2,1,0,10.1,160.9
28,Dion Lewis,TEN,RB,16,155,517,3.3,1,67,59,400,1,1,1,10,160.7
29,Jalen Richard,LV,RB,16,55,259,4.7,1,81,68,607,0,3,2,9.8,156.6
30,Dalvin Cook,MIN,RB,11,133,615,4.6,2,49,40,305,2,2,2,13.8,152
31,Peyton Barber,TB,RB,16,234,871,3.7,5,29,20,92,1,1,1,9.4,150.3
32,Mark Ingram II,NO,RB,12,138,645,4.7,6,27,21,170,1,3,1,11.9,142.5
33,Isaiah Crowell,NYJ,RB,13,143,685,4.8,6,28,21,152,0,0,0,10.8,140.7
34,Kerryon Johnson,DET,RB,10,118,641,5.4,3,39,32,213,1,1,1,13.9,139.4
35,Sony Michel,NE,RB,13,209,931,4.5,6,11,7,50,0,1,1,10.7,139.1
36,Mike Davis,SEA,RB,15,112,514,4.6,4,42,34,214,1,0,0,9.1,136.8
37,Duke Johnson,CLE,RB,16,40,201,5,0,62,47,429,3,1,0,8.2,132
38,Latavius Murray,MIN,RB,16,140,578,4.1,6,26,22,141,0,0,0,8.2,131.9
39,LeSean McCoy,BUF,RB,14,161,514,3.2,3,46,34,238,0,0,0,9.1,127.2
40,Leonard Fournette,JAX,RB,8,133,439,3.3,5,26,22,185,1,0,0,15,120.4
41,Doug Martin,LV,RB,16,172,723,4.2,4,24,18,116,0,3,3,7.5,119.9
42,Wendell Smallwood,PHI,RB,16,87,364,4.2,3,35,28,230,2,2,1,7.3,117.4
43,Theo Riddick,DET,RB,14,40,171,4.3,0,74,61,384,0,0,0,8.3,116.5
44,Jamaal Williams,GB,RB,16,121,464,3.8,3,41,27,210,0,0,0,7.2,114.4
45,Alex Collins,BAL,RB,10,114,411,3.6,7,21,15,105,1,3,3,10.9,108.6
46,Frank Gore,MIA,RB,14,156,722,4.6,0,16,12,124,1,1,0,7.3,102.6
47,Royce Freeman,DEN,RB,14,130,521,4,5,20,14,72,0,1,1,7.2,101.3
48,Damien Williams,KC,RB,14,50,256,5.1,4,24,23,160,2,1,1,7,98.6
49,Carlos Hyde,JAX,RB,14,172,571,3.3,5,17,10,33,0,2,1,7,98.4
50,Ito Smith,ATL,RB,14,90,315,3.5,4,32,27,152,0,1,0,7,97.7
51,Alfred Blue,HOU,RB,16,150,499,3.3,2,27,20,154,0,0,0,6.1,97.3
52,Giovani Bernard,CIN,RB,12,56,211,3.8,3,48,35,218,0,0,0,8,95.9
53,Javorius Allen,BAL,RB,14,41,110,2.7,3,43,35,196,2,1,1,6.7,93.6
54,Chris Thompson,WAS,RB,10,43,178,4.1,0,55,41,268,1,1,0,9.2,91.6
55,Cordarrelle Patterson,NE,RB,15,42,228,5.4,1,28,21,247,3,1,1,6,90.5
56,Gus Edwards,BAL,RB,11,137,718,5.2,2,2,2,20,0,0,0,8.2,89.8
57,Jaylen Samuels,PIT,RB,14,56,256,4.6,0,29,26,199,3,1,0,6.4,89.5
58,Devontae Booker,DEN,RB,16,34,183,5.4,1,51,38,275,0,1,1,5.5,87.8
59,LeGarrette Blount,DET,RB,16,154,418,2.7,5,15,10,67,0,2,1,5.4,86.5
60,Elijah McGuire,NYJ,RB,8,92,276,3,3,31,19,193,1,2,2,10.7,85.9
61,Jacquizz Rodgers,TB,RB,16,33,106,3.2,1,45,38,304,0,1,1,5.2,83
62,Josh Adams,PHI,RB,13,120,511,4.3,3,13,7,58,0,1,1,6.3,81.9
63,Corey Clement,PHI,RB,11,68,259,3.8,2,25,22,192,0,4,0,7.4,81.1
64,Marshawn Lynch,LV,RB,6,90,376,4.2,3,20,15,84,0,0,0,13.2,79
64,Spencer Ware,KC,RB,13,51,246,4.8,2,23,20,224,0,0,0,6.1,79
66,Chris Ivory,BUF,RB,13,115,385,3.3,1,21,13,205,0,1,0,6,78
67,Rashaad Penny,SEA,RB,14,85,419,4.9,2,12,9,75,0,0,0,5,70.4
68,Alfred Morris,SF,RB,12,111,428,3.9,2,14,8,73,0,2,1,5.7,68.1
69,CJ Anderson,LAR,RB,11,67,403,6,2,9,5,41,1,0,0,6.1,67.4
69,Kyle Juszczyk,SF,FB,16,8,30,3.8,0,40,30,324,1,2,2,4.2,67.4
71,Chase Edmonds,ARI,RB,16,60,208,3.5,2,23,20,103,0,1,0,3.9,63.1
72,Kapri Bibbs,GB,RB,12,21,103,4.9,3,23,16,115,1,1,0,5.2,61.8
73,Justin Jackson,LAC,RB,9,50,206,4.1,2,19,15,135,0,0,0,6.8,61.1
74,Darren Sproles,PHI,RB,6,29,120,4.1,1,23,15,160,2,0,0,10.2,61
75,Bilal Powell,NYJ,RB,7,80,343,4.3,0,18,11,110,1,2,1,8.6,60.3
76,Jordan Wilkins,IND,RB,16,60,336,5.6,1,17,16,85,0,2,2,3.8,60.1
77,Zach Zenner,DET,RB,8,55,265,4.8,3,10,7,56,0,0,0,7.1,57.1
78,Kenneth Dixon,BAL,RB,6,60,333,5.6,2,7,6,51,0,2,1,9.1,54.4
79,Rex Burkhead,NE,RB,8,57,186,3.3,0,20,14,131,1,2,1,6.2,49.7
80,Trenton Cannon,NYJ,RB,16,38,113,3,1,25,17,144,0,0,0,3,48.7
81,Wayne Gallman,NYG,RB,15,51,176,3.5,1,22,14,89,0,2,1,3,44.5
82,Jeff Wilson Jr.,SF,RB,6,66,266,4,0,15,12,98,0,3,2,7.4,44.4
83,Jay Ajayi,PHI,RB,4,45,184,4.1,3,6,5,20,0,1,1,10.8,43.4
84,James Develin,NE,FB,16,6,8,1.3,4,18,12,61,0,0,0,2.7,42.9
85,Malcolm Brown,LAR,RB,12,43,212,4.9,0,7,5,52,1,0,0,3.3,39.4
86,Raheem Mostert,SF,RB,9,34,261,7.7,1,7,6,25,0,1,1,4.3,38.6
86,Marcus Murphy,BUF,RB,11,52,250,4.8,0,19,11,26,0,1,0,3.5,38.6
88,Kalen Ballage,MIA,RB,12,36,191,5.3,1,11,9,56,0,1,1,3.1,37.7
89,Rod Smith,DAL,RB,16,44,127,2.9,1,12,9,60,0,0,0,2.1,33.7
90,Brandon Bolden,MIA,RB,16,8,91,11.4,2,3,3,13,1,1,1,1.8,29.4
91,Andy Janovich,DEN,FB,16,2,5,2.5,0,10,8,112,1,0,0,1.6,25.7
92,Anthony Sherman,KC,FB,16,1,2,2,0,9,8,96,1,0,0,1.5,23.8
93,Taquan Mizzell,CHI,RB,9,9,16,1.8,0,10,8,78,1,0,0,2.6,23.4
94,Zach Line,NO,FB,16,9,41,4.6,0,10,5,14,2,0,0,1.4,22.5
95,Ronald Jones SUS,TB,RB,9,23,44,1.9,1,9,7,33,0,0,0,2.3,20.7
96,C.J. Ham,MIN,FB,15,6,8,1.3,0,15,11,85,0,0,0,1.4,20.3
97,Corey Grant,JAX,RB,5,13,40,3.1,0,12,9,67,0,0,0,3.9,19.7
98,Jason Cabinda,LV,FB,10,0,0,0,0,0,0,0,0,0,0,1.8,18.5
99,Dontrell Hilliard,CLE,RB,11,0,0,0,0,10,9,105,0,0,0,1.6,17.5
100,Cameron Artis-Payne,CAR,RB,9,19,69,3.6,1,4,3,15,0,0,0,1.9,17.4
101,Darrel Williams,KC,RB,4,13,44,3.4,0,3,3,27,1,0,0,4,16.1
102,Brian Hill,ATL,RB,9,20,157,7.8,0,2,1,9,0,1,1,1.7,15.6
103,Elijhaa Penny,NYG,RB,12,7,25,3.6,0,9,8,50,0,0,0,1.3,15.5
104,Dwayne Washington,NO,RB,6,27,154,5.7,0,0,0,0,0,0,0,2.6,15.4
105,Alex Armah,CAR,RB,16,9,15,1.7,2,1,1,5,0,0,0,0.9,15
106,Stevan Ridley,PIT,RB,10,29,80,2.8,1,4,3,18,0,2,2,1.5,14.8
107,Devonta Freeman,ATL,RB,2,14,68,4.9,0,7,5,23,0,0,0,7,14.1
108,Keith Ford,BUF,RB,2,21,79,3.8,0,5,3,21,0,0,0,6.5,13
109,Mark Walton,CIN,RB,14,14,34,2.4,0,8,5,41,0,0,0,0.9,12.5
110,John Kelly Jr.,LAR,RB,4,27,74,2.7,0,3,2,27,0,0,0,3,12.1
111,Charcandrick West,KC,RB,3,2,-1,-0.5,0,3,2,37,1,0,0,3.9,11.6
112,DeAndre Washington,LV,RB,10,30,115,3.8,0,1,1,9,0,1,1,1.1,11.4
113,T.J. Logan,ARI,RB,10,2,2,1,0,7,7,37,0,0,0,1.1,10.9
114,D'Onta Foreman,HOU,RB,1,7,-1,-0.1,0,2,2,28,1,1,0,10.7,10.7
115,Patrick DiMarco,BUF,FB,16,1,9,9,0,4,3,62,0,0,0,0.6,10.1
115,Tommy Bohanon,JAX,FB,16,1,0,0,0,9,6,41,0,0,0,0.6,10.1
117,Detrez Newsome,LAC,RB,9,11,49,4.5,0,2,2,19,0,0,0,1,8.8
118,Kenjon Barner,CAR,RB,9,19,71,3.7,0,1,1,3,0,1,0,0.9,8.4
119,Roosevelt Nix,PIT,FB,16,1,4,4,0,6,4,38,0,0,0,0.5,8.2
120,Byron Marshall,WAS,RB,6,3,9,3,0,6,4,30,0,0,0,1.3,7.9
121,Keith Smith,LV,FB,16,1,0,0,0,7,5,23,0,0,0,0.5,7.3
122,Roc Thomas,MIN,RB,5,8,30,3.8,0,4,2,21,0,0,0,1.4,7.1
123,Mike Boone,MIN,RB,8,11,47,4.3,0,3,2,1,0,0,0,0.8,6.8
124,Samaje Perine,WAS,RB,5,8,32,4,0,4,3,5,0,0,0,1.3,6.7
125,Tyler Ervin,HOU,RB,9,0,0,0,0,4,3,35,0,1,0,0.7,6.5
126,Shaun Wilson,TB,RB,5,6,29,4.8,0,5,3,5,0,0,0,1.3,6.4
127,Tre Madden,SEA,RB,14,3,3,1,0,3,2,35,0,0,0,0.4,5.8
128,C.J. Prosise,SEA,RB,5,1,-3,-3,0,3,3,22,0,0,0,1,4.9
129,Mike Gillislee,NO,RB,4,16,43,2.7,0,1,1,9,0,1,1,1,4.2
130,Jeremy Hill,NE,RB,1,4,25,6.2,0,1,1,6,0,0,0,4.1,4.1
130,De'Lance Turner,BAL,RB,4,1,4,4,0,2,2,17,0,0,0,1,4.1
130,Ricky Ortiz,ATL,FB,12,0,0,0,0,4,3,11,0,0,0,0.3,4.1
133,Derrick Coleman,ARI,FB,16,2,3,1.5,0,3,2,17,0,0,0,0.2,4
134,Benjamin Cunningham,CHI,RB,15,11,20,1.8,0,2,1,9,0,0,0,0.3,3.9
134,Ameer Abdullah,MIN,RB,10,1,1,1,0,4,3,28,0,1,1,0.4,3.9
136,David Williams,JAX,RB,3,8,36,4.5,0,0,0,0,0,0,0,1.2,3.6
137,Jamaal Charles,JAX,RB,2,6,7,1.2,0,3,2,7,0,0,0,1.7,3.4
138,Jamize Olawale,DAL,FB,16,0,0,0,0,4,2,13,0,0,0,0.2,3.3
139,Travaris Cadet,CAR,RB,1,11,17,1.5,0,1,1,5,0,0,0,3.2,3.2
140,Alan Cross,TB,FB,14,0,0,0,0,5,2,9,0,0,0,0.2,2.9
141,Jeremy Langford,ATL,RB,1,9,25,2.8,0,0,0,0,0,0,0,2.5,2.5
142,Derek Watt,LAC,FB,16,4,11,2.8,0,1,1,2,0,0,0,0.1,2.3
143,Justin Davis,LAR,RB,11,2,19,9.5,0,0,0,0,0,0,0,0.2,1.9
144,Jonathan Stewart,NYG,RB,3,6,17,2.8,0,0,0,0,0,0,0,0.6,1.7
145,David Fluellen,TEN,RB,7,4,16,4,0,0,0,0,0,0,0,0.2,1.6
145,Darius Jackson,DAL,RB,4,6,16,2.7,0,1,0,0,0,0,0,0.4,1.6
145,Michael Burton,CHI,FB,8,0,0,0,0,1,1,6,0,0,0,0.2,1.6
148,Brandon Wilds,JAX,RB,3,6,15,2.5,0,0,0,0,0,0,0,0.5,1.5
148,Godwin Igwebuike,SF,RB,6,0,0,0,0,0,0,0,0,0,0,0.2,1.5
150,Danny Vitale,GB,FB,5,0,0,0,0,2,1,2,0,0,0,0.2,1.2
151,Jonathan Williams,IND,RB,3,3,0,0,0,1,1,1,0,0,0,0.4,1.1
152,Christine Michael,IND,RB,1,2,9,4.5,0,0,0,0,0,0,0,0.9,0.9
153,Rob Kelley,WAS,RB,2,4,8,2,0,0,0,0,0,0,0,0.4,0.8
153,J.D. McKissic,SEA,RB,5,3,8,2.7,0,1,0,0,0,0,0,0.2,0.8
155,Jeremy McNichols,IND,RB,1,2,4,2,0,0,0,0,0,0,0,0.4,0.4
156,Robert Turbin,IND,RB,2,4,10,2.5,0,2,1,3,0,1,1,0.2,0.3
157,Taiwan Jones,BUF,RB,6,0,0,0,0,2,0,0,0,0,0,0,0
157,Senorise Perry,MIA,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
157,Tra Carson,GB,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
157,Patrick Ricard,BAL,FB,10,0,0,0,0,0,0,0,0,0,0,0,0
157,Shane Smith,NYG,FB,2,0,0,0,0,0,0,0,0,0,0,0,0
157,Buddy Howell,HOU,RB,15,0,0,0,0,0,0,0,0,0,0,0,0
157,Thomas Rawls,CIN,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
157,Dare Ogunbowale,TB,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
157,Matt Dayes,SF,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
157,Trey Edmunds,PIT,RB,4,0,0,0,0,0,0,0,0,0,0,0,0
157,Boston Scott,PHI,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
168,De'Angelo Henderson,NYJ,RB,1,2,19,9.5,0,0,0,0,0,1,1,-0.1,-0.1
,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,
1,Christian McCaffrey,CAR,RB,16,287,1387,4.8,15,141,116,1005,4,1,0,29.4,471.2
2,Aaron Jones,GB,RB,16,236,1084,4.6,16,68,49,474,3,3,2,19.7,314.8
3,Ezekiel Elliott,DAL,RB,16,301,1357,4.5,12,71,54,420,2,3,2,19.5,311.7
4,Austin Ekeler,LAC,RB,16,132,557,4.2,3,108,92,993,8,3,2,19.3,309
5,Derrick Henry,TEN,RB,15,303,1540,5.1,16,24,18,206,2,5,3,19.6,294.6
6,Dalvin Cook,MIN,RB,14,250,1135,4.5,13,63,53,519,0,4,2,20.9,292.4
7,Leonard Fournette,JAX,RB,15,265,1152,4.3,3,100,76,522,0,1,1,17.3,259.4
8,Nick Chubb,CLE,RB,16,298,1494,5,8,49,36,278,0,3,3,16,255.2
9,Alvin Kamara SUS,NO,RB,14,171,797,4.7,5,97,81,533,1,4,1,17.8,248.52
10,Saquon Barkley,NYG,RB,13,217,1003,4.6,6,73,52,438,2,1,0,18.8,244.1
11,Mark Ingram II,BAL,RB,15,202,1018,5,10,29,26,247,5,2,2,16.2,242.5
12,Chris Carson,SEA,RB,15,278,1230,4.4,7,47,37,266,2,7,4,15.5,232.6
13,Joe Mixon,CIN,RB,16,278,1137,4.1,5,45,35,287,3,0,0,14.1,225.4
14,Todd Gurley II,LAR,RB,15,223,857,3.8,12,49,31,207,2,3,2,14.6,219.4
15,Miles Sanders,PHI,RB,16,179,818,4.6,3,63,50,509,3,2,1,13.7,218.7
16,Le'Veon Bell,NYJ,RB,15,245,789,3.2,3,78,66,461,1,1,1,14.3,215
17,Kenyan Drake,ARI,RB,14,170,817,4.8,8,68,50,345,0,2,1,15.3,214.2
18,James White,NE,RB,15,67,263,3.9,1,95,72,645,5,1,1,13.3,200.2
19,Phillip Lindsay,DEN,RB,16,224,1011,4.5,7,48,35,196,0,0,0,12.4,197.7
20,Devonta Freeman,ATL,RB,14,184,656,3.6,2,70,59,410,4,3,2,14.1,197.6
21,Josh Jacobs O,LV,RB,13,242,1150,4.8,7,27,20,166,0,1,1,14.7,191.6
22,Marlon Mack IR,IND,RB,14,247,1091,4.4,8,17,14,82,0,0,0,13,181.3
23,Melvin Gordon III,LAC,RB,12,162,612,3.8,8,55,42,296,1,4,3,15.1,180.8
24,David Montgomery,CHI,RB,16,242,889,3.7,6,35,25,185,1,2,2,10.6,170.4
25,Ronald Jones SUS,TB,RB,16,172,724,4.2,6,40,31,309,0,3,2,10.4,166.3
26,Raheem Mostert,SF,RB,16,137,772,5.6,8,22,14,180,2,2,2,10.3,165.2
27,Tarik Cohen,CHI,RB,16,64,213,3.3,0,104,79,456,3,3,0,10.2,163.9
28,Latavius Murray,NO,RB,16,146,637,4.4,5,43,34,235,1,0,0,9.8,157.2
29,Duke Johnson,HOU,RB,16,83,410,4.9,2,62,44,410,3,1,1,9.6,154
30,Carlos Hyde,HOU,RB,16,245,1070,4.4,6,16,10,42,0,4,2,9.6,153.2
31,Sony Michel,NE,RB,16,247,912,3.7,7,20,12,94,0,2,1,9.5,152.6
32,Devin Singletary,BUF,RB,12,151,775,5.1,2,41,29,194,2,4,1,12.3,147.9
33,Adrian Peterson,WAS,RB,15,211,898,4.3,5,23,17,142,0,3,2,9.8,147
34,Jamaal Williams,GB,RB,14,107,460,4.3,1,45,39,253,5,0,0,10.4,146.3
35,James Conner,PIT,RB,10,116,464,4,4,38,34,251,3,1,1,14.6,145.5
36,Royce Freeman,DEN,RB,16,132,496,3.8,3,50,43,256,1,0,0,8.9,142.2
37,David Johnson,ARI,RB,13,94,345,3.7,2,47,36,370,4,1,1,10.9,141.5
38,Damien Williams,KC,RB,11,111,498,4.5,5,37,30,213,2,1,1,12.8,141.1
39,Tevin Coleman,SF,RB,14,137,544,4,6,30,21,180,1,0,0,9.7,135.4
40,DeAndre Washington,LV,RB,16,108,387,3.6,3,40,36,292,0,0,0,7.6,121.9
41,LeSean McCoy,KC,RB,13,101,465,4.6,4,34,28,181,1,3,2,9.1,118.6
42,Peyton Barber,TB,RB,16,154,470,3.1,6,24,16,115,1,1,1,7.3,116.5
43,Jordan Howard,PHI,RB,10,119,525,4.4,6,14,10,69,1,0,0,11.1,111.4
44,Nyheim Hines,IND,RB,16,52,199,3.8,2,58,44,320,0,1,1,6.6,105.9
45,Jaylen Samuels,PIT,RB,14,66,175,2.7,1,57,47,305,1,1,1,7.5,104.4
46,Matt Breida,SF,RB,13,123,623,5.1,1,22,19,120,1,2,1,7.9,103.3
47,Kareem Hunt,CLE,RB,8,43,179,4.2,2,44,37,285,1,1,0,12.7,101.4
48,Rex Burkhead,NE,RB,13,65,302,4.6,3,38,27,279,0,1,1,7.8,101.1
49,Boston Scott,PHI,RB,11,61,245,4,5,26,24,204,0,4,1,8.8,96.9
50,Frank Gore,BUF,RB,16,166,599,3.6,2,16,13,100,0,0,0,5.9,94.9
51,Chris Thompson,WAS,RB,11,37,138,3.7,0,58,42,378,0,1,0,8.5,93.6
52,Gus Edwards,BAL,RB,16,133,711,5.3,2,8,7,45,0,2,1,5.8,92.6
53,Tony Pollard,DAL,RB,15,86,455,5.3,2,20,15,107,1,1,1,5.9,89.2
54,Kerryon Johnson,DET,RB,8,113,403,3.6,3,15,10,127,1,1,1,10.6,85
55,J.D. McKissic,DET,RB,16,38,205,5.4,0,42,34,233,1,0,0,5.2,83.8
56,Chase Edmonds,ARI,RB,13,60,303,5,4,21,12,105,1,0,0,6.4,82.8
56,Jalen Richard,LV,RB,16,39,145,3.7,0,43,36,323,0,2,0,5.2,82.8
58,Rashaad Penny,SEA,RB,10,65,370,5.7,3,11,8,83,1,1,1,7.5,75.3
58,Dare Ogunbowale,TB,RB,16,11,17,1.5,2,47,35,286,0,2,1,4.7,75.3
60,Alexander Mattison,MIN,RB,13,100,462,4.6,1,12,10,82,0,1,1,5.3,68.4
60,Giovani Bernard,CIN,RB,16,53,170,3.2,0,43,30,234,0,2,1,4.3,68.4
62,Patrick Laird,MIA,RB,15,62,168,2.7,1,30,23,204,0,0,0,4.5,68.2
63,Darrel Williams,KC,RB,10,41,141,3.4,3,19,15,167,1,1,1,6.8,67.8
64,Brian Hill,ATL,RB,12,78,323,4.1,2,14,10,69,1,0,0,5.6,67.2
65,Dion Lewis,TEN,RB,16,54,209,3.9,0,32,25,164,1,1,1,4.1,66.3
66,Ty Johnson,DET,RB,16,63,273,4.3,0,31,24,109,0,1,1,3.8,60.2
67,Malcolm Brown,LAR,RB,14,69,255,3.7,5,6,2,16,0,0,0,4.2,59.1
68,Benny Snell Jr.,PIT,RB,13,108,426,3.9,2,4,3,23,0,1,1,4.5,57.9
69,Derrius Guice,WAS,RB,5,42,245,5.8,2,9,7,79,1,0,0,11.5,57.4
70,Jordan Wilkins,IND,RB,14,51,307,6,2,11,7,43,0,0,0,3.9,54
71,Kalen Ballage,MIA,RB,12,74,135,1.8,3,24,14,63,0,0,0,4.3,51.8
72,Ryquell Armstead,JAX,RB,16,35,108,3.1,0,24,14,144,2,0,0,3.2,51.2
73,Brandon Bolden,NE,RB,15,15,68,4.5,3,11,9,111,1,0,0,3.4,50.9
74,Kyle Juszczyk,SF,FB,12,3,7,2.3,0,24,20,239,1,0,0,4.2,50.6
