2018,,,,,,,,,,,,,,,,
159,Dexter Williams,GB,RB,3,2,8,4,0,0,0,0,0,0,0,0.3,0.8
160,John Lovett,GB,FB,8,3,6,2,0,0,0,0,0,0,0,0.1,0.6
161,Tony Brooks-James,ATL,RB,1,3,4,1.3,0,0,0,0,0,0,0,0.4,0.4
162,Qadree Ollison,ATL,RB,3,1,3,3,0,0,0,0,0,0,0,0.1,0.3
163,Nathan Cottrell,JAX,RB,8,0,0,0,0,0,0,0,0,0,0,0,0
163,Taiwan Jones,BUF,RB,13,0,0,0,0,2,0,0,0,0,0,0,0
163,Xavier Jones,LAR,RB,13,0,0,0,0,0,0,0,0,0,0,0,0
163,Raymond Calais,LAR,RB,4,0,0,0,0,0,0,0,0,0,0,0,0
163,Derek Watt,PIT,FB,12,0,0,0,0,0,0,0,0,0,0,0,0
163,Andrew Beck,DEN,FB,10,0,0,0,0,0,0,0,0,0,0,0,0
163,Darius Bradwell,LAC,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
163,Kenjon Barner,TB,RB,6,0,0,0,0,1,0,0,0,0,0,0,0
163,Trey Edmunds,PIT,RB,4,0,0,0,0,0,0,0,0,0,0,0,0
163,Jeremy Cox,DEN,RB,7,0,0,0,0,0,0,0,0,0,0,0,0
163,Sewo Olonilua,DAL,FB,2,0,0,0,0,0,0,0,0,0,0,0,0
163,Chris Myarick,MIA,FB,3,0,0,0,0,0,0,0,0,0,0,0,0
163,Elijah Holyfield,PHI,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
163,Johnny Stanton IV,CLE,FB,1,0,0,0,0,0,0,0,0,0,0,0,0
163,Wendell Smallwood,PIT,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
163,Javon Leake,WAS,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
163,Mike Warren II,WAS,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
163,Jake Bargas,MIN,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
163,Adrian Killins,PHI,RB,1,1,-12,-12,0,1,1,2,0,0,0,0,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,Jonathan Taylor PUP,IND,RB,17,332,1811,5.5,18,51,40,360,2,4,2,21.9,373.1
2,Austin Ekeler,LAC,RB,16,206,911,4.4,12,94,70,647,8,4,3,21.5,343.8
3,Najee Harris,PIT,RB,17,307,1200,3.9,7,94,74,467,3,0,0,17.7,300.7
4,Joe Mixon,CIN,RB,16,292,1205,4.1,13,48,42,314,3,2,1,18,287.9
5,James Conner,ARI,RB,15,202,752,3.7,15,39,37,375,3,2,0,17.2,257.7
6,Leonard Fournette,TB,RB,14,180,812,4.5,8,84,69,454,2,1,0,18.3,255.6
7,Ezekiel Elliott,DAL,RB,17,237,1002,4.2,10,65,47,287,2,1,1,14.8,252.06
8,Alvin Kamara SUS,NO,RB,13,240,898,3.7,4,67,47,439,5,0,0,18.1,234.7
9,Cordarrelle Patterson,ATL,RB,16,153,618,4,6,69,52,548,5,2,0,14.7,234.6
10,Antonio Gibson,WAS,RB,16,258,1037,4,7,52,42,294,3,6,4,14.3,229.1
11,Aaron Jones,GB,RB,15,171,799,4.7,4,65,52,391,6,2,1,15.3,229
12,Josh Jacobs O,LV,RB,15,217,872,4,9,64,54,348,0,2,2,15.1,226
13,Nick Chubb,CLE,RB,14,228,1259,5.5,8,25,20,174,1,2,1,15.4,215.3
14,Damien Harris,NE,RB,15,202,929,4.6,15,21,18,132,0,2,2,14,210.1
15,D'Andre Swift,DET,RB,13,151,617,4.1,5,78,62,452,2,2,1,16.1,208.9
16,Dalvin Cook,MIN,RB,13,249,1159,4.7,6,49,34,224,0,3,2,15.9,206.3
17,Javonte Williams,DEN,RB,17,203,903,4.4,4,53,43,316,3,2,1,12.1,204.9
18,Devin Singletary,BUF,RB,17,188,870,4.6,7,50,40,228,1,5,0,11.6,197.8
19,Darrel Williams,KC,RB,17,144,558,3.9,6,57,47,452,2,0,0,11.5,196
20,Melvin Gordon III,DEN,RB,16,203,918,4.5,8,38,28,213,2,3,3,12.2,195.1
21,David Montgomery,CHI,RB,13,225,849,3.8,7,51,42,301,0,1,1,15,195
22,Derrick Henry,TEN,RB,8,219,937,4.3,10,20,18,154,0,1,0,24.2,193.3
23,AJ Dillon,GB,RB,17,187,803,4.3,5,37,34,313,2,2,1,10.9,185.6
24,James Robinson,JAX,RB,14,164,767,4.7,8,46,31,222,0,4,2,12.4,173.9
25,Myles Gaskin,MIA,RB,17,173,612,3.5,3,63,49,234,4,2,1,10.2,173.6
26,Elijah Mitchell,SF,RB,11,207,963,4.7,5,20,19,137,1,0,0,15,165
27,Darrell Henderson Jr.,LAR,RB,12,149,688,4.6,5,40,29,176,3,0,0,13.6,163.4
28,Tony Pollard,DAL,RB,15,130,719,5.5,2,46,39,337,0,2,0,10.4,156.6
29,Michael Carter,NYJ,RB,14,147,639,4.3,4,55,36,325,0,1,1,11,154.4
30,Saquon Barkley,NYG,RB,13,162,593,3.7,2,57,41,263,2,2,1,11.4,148.6
31,Devonta Freeman,BAL,RB,16,133,576,4.3,5,42,34,190,1,0,0,9.2,146.6
32,Sony Michel,LAR,RB,17,208,845,4.1,4,33,21,128,1,1,1,8.6,146.3
33,Devontae Booker,NYG,RB,16,145,593,4.1,2,45,40,268,1,0,0,9,144.1
34,Chase Edmonds,ARI,RB,12,116,592,5.1,2,53,43,311,0,1,1,11.9,143.3
35,Mike Davis,ATL,RB,17,138,503,3.6,3,58,44,259,1,4,3,8.1,138.2
36,Chuba Hubbard,CAR,RB,17,172,612,3.6,5,37,25,174,1,1,1,8.1,137.6
37,J.D. McKissic,WAS,RB,11,48,212,4.4,2,53,43,397,2,0,0,11.6,127.9
38,Christian McCaffrey,CAR,RB,7,99,442,4.5,1,41,37,343,1,1,0,18.2,127.5
39,Alexander Mattison,MIN,RB,16,134,491,3.7,3,39,32,228,1,1,1,7.9,125.9
40,Brandon Bolden,NE,RB,17,44,226,5.1,1,49,41,405,2,1,0,7.3,124.1
41,Kenneth Gainwell,PHI,RB,16,68,291,4.3,5,50,33,253,1,2,1,7.7,123.4
42,Rashaad Penny,SEA,RB,10,119,749,6.3,6,8,6,48,0,0,0,12.2,121.7
43,Jamaal Williams,DET,RB,13,153,601,3.9,3,28,26,157,0,1,0,9.2,119.8
44,Clyde Edwards-Helaire,KC,RB,10,119,517,4.3,4,23,19,129,2,2,2,11.8,117.6
45,Miles Sanders,PHI,RB,12,137,754,5.5,0,34,26,158,0,1,1,9.8,117.2
46,Ty Johnson,NYJ,RB,16,61,238,3.9,2,55,34,372,2,2,1,7.3,117
47,Rhamondre Stevenson,NE,RB,12,133,606,4.6,5,18,14,123,0,2,1,9.6,114.9
48,Nyheim Hines,IND,RB,17,56,276,4.9,2,57,40,310,1,3,2,6.6,112.6
49,Kareem Hunt,CLE,RB,8,78,386,4.9,5,27,22,174,0,0,0,13.8,110
50,Mark Ingram II,NO,RB,14,160,554,3.5,2,35,27,162,0,1,1,7.8,108.6
,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,Austin Ekeler,LAC,RB,17,204,915,4.5,13,127,107,722,5,5,3,21.9,372.7
2,Christian McCaffrey,SF,RB,17,244,1139,4.7,8,108,85,741,5,1,0,21,356.36
3,Josh Jacobs O,LV,RB,17,340,1653,4.9,12,64,53,400,0,3,1,19.3,328.3
4,Derrick Henry,TEN,RB,16,349,1538,4.4,13,41,33,398,0,6,3,18.9,302.76
5,Saquon Barkley,NYG,RB,16,295,1312,4.4,10,76,57,338,0,1,0,17.8,284
6,Nick Chubb,CLE,RB,17,302,1525,5,12,37,27,239,1,1,1,16.6,281.4
7,Rhamondre Stevenson,NE,RB,17,210,1040,5,5,88,69,421,1,4,1,14.7,249.1
8,Tony Pollard,DAL,RB,16,193,1007,5.2,9,55,39,371,3,0,0,15.6,248.8
9,Aaron Jones,GB,RB,17,213,1121,5.3,2,72,59,395,5,5,3,14.6,248.6
10,Joe Mixon,CIN,RB,14,210,814,3.9,7,75,60,441,2,0,0,17.1,239.5
11,Dalvin Cook,MIN,RB,17,264,1173,4.4,8,56,39,295,2,4,4,14,237.8
12,Leonard Fournette,TB,RB,16,189,668,3.5,3,83,73,523,3,0,0,14.1,226.1
13,Jamaal Williams,DET,RB,17,262,1066,4.1,17,16,12,73,0,3,2,13.3,225.9
14,Najee Harris,PIT,RB,17,272,1034,3.8,7,53,41,229,3,3,2,13.1,223.46
15,Miles Sanders,PHI,RB,17,259,1269,4.9,11,26,20,78,0,2,2,12.7,216.7
16,Alvin Kamara SUS,NO,RB,15,223,897,4,2,77,57,490,2,4,4,14.1,211.7
17,Travis Etienne Jr.,JAX,RB,17,220,1125,5.1,5,45,35,316,0,5,3,12.1,205.1
18,Kenneth Walker III,SEA,RB,15,228,1050,4.6,9,35,27,165,0,0,0,13.5,202.5
19,James Conner,ARI,RB,13,183,782,4.3,7,58,46,300,1,3,1,15.4,200.2
20,Jerick McKinnon,KC,RB,17,72,291,4,1,71,56,512,9,1,1,11.5,196.3
21,D'Andre Swift,DET,RB,14,99,542,5.5,5,70,48,389,3,1,0,13.6,191.1
22,Ezekiel Elliott,DAL,RB,15,231,876,3.8,12,23,17,92,0,0,0,12.4,185.8
23,Devin Singletary,BUF,RB,16,177,819,4.6,5,52,38,280,1,3,3,11.1,177.9
24,David Montgomery,CHI,RB,16,201,801,4,5,40,34,316,1,2,2,11.1,177.7
25,Raheem Mostert,MIA,RB,16,181,891,4.9,3,42,31,202,2,2,1,10.5,168.3
26,AJ Dillon,GB,RB,17,186,770,4.1,7,43,28,206,0,1,0,9.9,167.6
27,Dameon Pierce,HOU,RB,13,220,939,4.3,4,39,30,165,1,4,2,12.8,166.4
28,Antonio Gibson,WAS,RB,15,149,546,3.7,3,58,46,353,2,2,0,11.1,165.9
29,Tyler Allgeier,ATL,RB,16,210,1035,4.9,3,17,16,139,1,0,0,10,159.4
30,Jeff Wilson Jr.,MIA,RB,16,176,860,4.9,5,37,22,185,1,3,2,9.9,158.5
31,Latavius Murray,DEN,RB,13,171,760,4.4,6,35,27,132,0,1,0,11.9,154.2
32,Cordarrelle Patterson,ATL,RB,13,144,695,4.8,8,31,21,122,0,1,1,11.4,148.7
33,Jonathan Taylor PUP,IND,RB,11,192,861,4.5,4,40,28,143,0,3,3,13.3,146.4
34,Samaje Perine,CIN,RB,16,95,394,4.1,2,51,38,287,4,0,0,8.9,142.1
35,Cam Akers,LAR,RB,15,188,786,4.2,7,18,13,117,0,2,2,9.4,141.3
36,Rachaad White,TB,RB,17,129,481,3.7,1,58,50,290,2,3,3,8.2,139.1
37,Isiah Pacheco,KC,RB,17,170,830,4.9,5,14,13,130,0,4,2,7.9,135
38,D'Onta Foreman,CAR,RB,17,203,914,4.5,5,9,5,26,0,1,0,7.7,131
39,Kareem Hunt,CLE,RB,17,123,468,3.8,3,44,35,210,1,1,0,7.5,126.8
40,Michael Carter,NYJ,RB,16,114,402,3.5,3,54,41,288,0,2,1,7.9,126
41,Khalil Herbert,CHI,RB,13,129,731,5.7,4,12,9,57,1,0,0,9.1,117.8
42,Breece Hall,NYJ,RB,7,80,463,5.8,4,31,19,218,1,1,1,16.4,115.1
43,Brian Robinson,WAS,RB,12,205,797,3.9,2,12,9,60,1,2,0,9.4,112.7
44,James Cook,BUF,RB,16,89,507,5.7,2,32,21,180,1,1,1,6.6,105.7
45,Kenyan Drake,BAL,RB,12,109,482,4.4,4,26,17,89,1,1,0,8.7,104.1
46,Clyde Edwards-Helaire,KC,RB,10,71,302,4.3,3,23,17,151,3,0,0,9.8,98.3
47,Jaylen Warren,PIT,RB,16,77,379,4.9,1,33,28,214,0,1,0,5.8,93.3
48,Damien Harris,NE,RB,13,106,462,4.4,3,23,17,97,0,0,0,7,90.9
49,Eno Benjamin IR,NO,RB,15,77,313,4.1,2,34,25,193,0,1,0,6,89.6
50,James Robinson,NYJ,RB,11,110,425,3.9,3,14,11,51,2,1,0,8.1,88.6
51,Alexander Mattison,MIN,RB,17,74,283,3.8,5,18,15,91,1,0,0,5.2,88.4
52,Kenneth Gainwell,PHI,RB,17,53,240,4.5,4,29,23,169,0,0,0,5.2,87.9
53,Chuba Hubbard,CAR,RB,15,95,466,4.9,2,17,14,171,0,4,1,5.8,87.7
54,Melvin Gordon III,DEN,RB,10,90,318,3.5,2,32,25,223,0,5,2,8.7,87.1
55,Deon Jackson,IND,RB,16,68,236,3.5,1,34,30,209,1,1,1,5.3,84.5
56,J.K. Dobbins,BAL,RB,8,92,520,5.7,2,8,7,42,1,0,0,10.2,81.2
57,Rex Burkhead,HOU,RB,16,26,80,3.1,1,51,37,204,1,0,0,4.8,77.4
58,Dontrell Hilliard,TEN,RB,12,22,145,6.6,0,26,21,177,4,0,0,6.4,77.2
59,Chase Edmonds,DEN,RB,13,68,245,3.6,2,24,16,157,1,0,0,5.7,74.2
60,Darrell Henderson Jr.,JAX,RB,10,70,283,4,3,22,17,102,0,0,0,7.4,73.5
61,JaMycal Hasty,JAX,RB,17,46,194,4.2,2,26,20,126,1,0,0,4.1,70
62,Nyheim Hines,BUF,RB,16,24,33,1.4,1,37,30,241,1,2,0,4.3,69.4
63,Joshua Kelley,LAC,RB,13,69,287,4.2,2,25,14,101,0,0,0,5,64.8
64,Zack Moss,IND,RB,13,93,456,4.9,1,13,11,39,0,1,1,5,64.5
65,Matt Breida,NYG,RB,17,54,220,4.1,1,25,20,118,0,0,0,3.5,59.8
66,Gus Edwards,BAL,RB,9,87,433,5,3,2,0,0,0,1,1,6.6,59.3
67,Zonovan Knight,NYJ,RB,7,85,300,3.5,1,14,13,100,0,2,0,8.4,59
68,J.D. McKissic,WAS,RB,8,22,95,4.3,0,40,27,173,0,0,0,7,55.8
69,Ameer Abdullah,LV,RB,17,4,20,5,0,32,25,211,1,2,0,3.2,54.1
70,Kyle Juszczyk,SF,FB,16,7,26,3.7,1,23,19,200,1,0,0,3.4,53.6
71,Rashaad Penny,SEA,RB,5,57,346,6.1,2,5,4,16,0,1,0,10.4,52.2
72,Justin Jackson,DET,RB,16,42,170,4,1,19,12,101,1,1,0,3.2,51.1
73,Mark Ingram II,NO,RB,10,62,233,3.8,1,18,16,68,0,2,2,5,50.1
74,Dare Ogunbowale,HOU,RB,17,42,123,2.9,1,26,20,104,0,0,0,2.9,48.7
75,Boston Scott,PHI,RB,15,54,217,4,3,6,5,15,0,0,0,3.1,46.2
75,DeeJay Dallas,SEA,RB,15,35,186,5.3,0,19,17,126,0,1,0,3.1,46.2
77,Caleb Huntley,ATL,RB,12,76,366,4.8,1,2,2,3,0,1,0,3.7,44.9
78,Elijah Mitchell,SF,RB,5,45,279,6.2,2,4,3,7,0,0,0,8.7,43.6
79,Travis Homer,SEA,RB,10,19,74,3.9,0,18,16,157,1,1,1,4.3,43.1
80,Raheem Blackshear,CAR,RB,13,23,77,3.3,3,12,10,93,0,1,1,3.3,43
81,Ty Johnson,NYJ,RB,17,30,160,5.3,1,24,12,88,0,0,0,2.5,42.8
82,Justice Hill,BAL,RB,15,49,262,5.3,0,12,12,58,0,2,1,2.8,42
82,Javonte Williams,DEN,RB,4,47,204,4.3,0,22,16,76,0,1,1,10.5,42
84,Marlon Mack IR,DEN,RB,8,16,84,5.2,1,10,8,99,1,0,0,4.8,38.3
84,Alec Ingold,MIA,FB,17,6,8,1.3,1,23,15,105,1,0,0,2.3,38.3
86,Malik Davis,DAL,RB,12,38,161,4.2,1,7,6,63,0,0,0,2.9,34.4
87,Avery Williams IR,ATL,RB,17,22,109,5,1,14,13,61,0,1,1,2,34
88,Jordan Mason,SF,RB,16,43,258,6,1,0,0,0,0,0,0,2,31.8
89,C.J. Ham,MIN,FB,17,4,7,1.8,2,12,10,86,0,0,0,1.8,31.3
90,Craig Reynolds,DET,RB,9,23,102,4.4,0,10,9,116,0,0,0,3.4,30.8
91,Kyren Williams,LAR,RB,10,35,139,4,0,12,9,76,0,0,0,3,30.5
92,Gary Brightwell,NYG,RB,17,31,141,4.5,1,8,5,39,0,1,0,1.7,29
93,Mike Boone,DEN,RB,9,24,102,4.2,0,15,9,96,0,0,0,3.2,28.8
94,Brandon Bolden,LV,RB,16,17,66,3.9,0,9,9,57,1,0,0,1.7,27.3
95,Pierre Strong Jr.,NE,RB,15,10,100,10,1,7,7,42,0,0,0,1.8,27.2
96,Jonathan Williams,WAS,RB,13,37,152,4.1,0,10,7,40,0,0,0,2,26.2
97,Hassan Haskins,TEN,RB,15,25,93,3.7,0,12,11,57,0,0,0,1.7,26
98,Sony Michel,LAC,RB,10,36,106,2.9,0,13,9,53,0,0,0,2.5,24.9
99,Malcolm Brown,LAR,RB,11,18,81,4.5,1,6,5,37,0,0,0,2.1,22.8
100,Tevin Coleman,SF,RB,5,12,26,2.2,1,3,3,44,1,0,0,4.4,22
101,Corey Clement,ARI,RB,9,15,55,3.7,1,7,5,54,0,0,0,2.4,21.9
102,Darrel Williams,ARI,RB,6,21,102,4.9,1,8,4,9,0,0,0,3.5,21.1
103,Reggie Gilliam,BUF,FB,15,0,0,0,0,10,8,69,1,0,0,1.4,20.9
104,Derek Watt,PIT,FB,17,9,21,2.3,1,5,5,11,1,0,0,1.2,20.2
105,Patrick Ricard,BAL,FB,17,7,16,2.3,0,13,11,74,0,0,0,1.2,20
106,Chris Myarick,NYG,FB,16,0,0,0,0,8,7,65,1,0,0,1.2,19.5
107,Royce Freeman,HOU,RB,4,41,117,2.9,0,8,6,33,0,1,1,4.8,19
108,Benny Snell Jr.,PIT,RB,17,20,90,4.5,1,2,2,17,0,0,0,1.1,18.7
109,Zander Horvath,LAC,FB,15,4,8,2,0,8,5,8,2,0,0,1.2,18.6
110,Keaontay Ingram,ARI,RB,12,27,60,2.2,1,5,4,21,0,0,0,1.5,18.1
111,Ronald Jones SUS,KC,RB,6,17,70,4.1,1,1,1,22,0,0,0,2.7,16.2
112,Phillip Lindsay,IND,RB,3,15,49,3.3,0,8,6,19,0,0,0,4.9,14.8
113,Jordan Wilkins,IND,RB,4,13,58,4.5,0,8,6,29,0,0,0,3.7,14.7
114,Salvon Ahmed,MIA,RB,12,12,64,5.3,1,1,1,8,0,0,0,1.2,14.2
115,Chris Evans,CIN,RB,12,0,0,0,0,4,3,38,1,0,0,1.1,12.8
116,Andrew Beck,DEN,FB,13,2,0,0,0,11,5,69,0,0,0,0.9,11.9
117,Kevin Harris,NE,RB,5,18,52,2.9,1,0,0,0,0,0,0,2.2,11.2
118,Darrynton Evans,CHI,RB,6,14,64,4.6,0,1,1,33,0,0,0,1.8,10.7
119,Tony Jones Jr.,SEA,RB,6,10,24,2.4,0,8,5,30,0,0,0,1.7,10.4
120,Snoop Conner,JAX,RB,8,12,42,3.5,1,0,0,0,0,0,0,1.3,10.2
120,Ke'Shawn Vaughn,TB,RB,15,17,53,3.1,0,4,3,19,0,0,0,0.7,10.2
122,Ronnie Rivers,LAR,RB,8,9,21,2.3,0,5,5,29,0,0,0,1.2,10
123,Tyrion Davis-Price,SF,RB,6,34,99,2.9,0,2,0,0,0,0,0,1.6,9.9
124,Tyler Badie,DEN,RB,1,1,0,0,0,1,1,24,1,0,0,9.4,9.4
124,Myles Gaskin,MIA,RB,4,10,26,2.6,0,6,4,28,0,0,0,2.4,9.4
126,David Johnson,NO,RB,5,12,24,2,0,4,4,47,0,1,1,1.8,9.1
127,Isaiah Spiller,LAC,RB,6,18,41,2.3,0,3,3,13,0,0,0,1.4,8.4
128,Julius Chestnut,TEN,RB,6,9,12,1.3,0,3,3,41,0,0,0,1.4,8.3
129,Trayveon Williams,CIN,RB,8,6,30,5,0,3,2,30,0,0,0,1,8
130,Jaret Patterson,WAS,RB,3,17,78,4.6,0,1,0,0,0,0,0,2.6,7.8
131,Spencer Brown,CAR,RB,2,9,43,4.8,0,4,2,10,0,0,0,3.6,7.3
132,Zamir White,LV,RB,14,17,70,4.1,0,0,0,0,0,0,0,0.5,7
133,Troy Hairston IR,HOU,FB,16,0,0,0,0,8,5,19,0,0,0,0.4,6.9
134,Trestan Ebner,CHI,RB,17,24,54,2.2,0,8,2,8,0,2,1,0.4,6.2
135,Anthony McFarland Jr.,PIT,RB,1,6,30,5,0,2,2,11,0,0,0,6.1,6.1
136,Jakob Johnson,LV,FB,17,0,0,0,0,6,5,10,0,0,0,0.4,6
137,Patrick Taylor,GB,RB,14,10,31,3.1,0,1,1,17,0,0,0,0.4,5.8
138,Dwayne Washington,NO,RB,12,11,38,3.5,0,1,1,7,0,1,0,0.5,5.5
138,Kene Nwangwu,MIN,RB,17,9,14,1.6,0,2,2,21,0,0,0,0.3,5.5
140,D'Ernest Johnson,CLE,RB,15,4,17,4.2,0,3,3,7,0,0,0,0.4,5.4
141,Larry Rountree III,LAC,RB,4,13,19,1.5,0,2,2,14,0,0,0,1.3,5.3
142,Jonathan Ward,TEN,RB,8,5,25,5,0,3,2,7,0,0,0,0.6,5.2
143,Adam Prentice,NO,FB,11,4,9,2.2,0,3,3,9,0,1,0,0.4,4.8
144,Giovani Bernard,TB,RB,8,8,28,3.5,0,2,2,-1,0,1,0,0.6,4.7
145,Mike Davis,BAL,RB,8,8,18,2.2,0,2,2,4,0,1,0,0.5,4.2
146,Michael Burton,KC,FB,17,5,7,1.4,0,3,2,11,0,0,0,0.2,3.8
147,J.J. Taylor,NE,RB,1,10,9,0.9,0,1,1,8,0,0,0,2.7,2.7
148,Demetric Felton Jr.,CLE,RB,8,1,-4,-4,0,4,2,8,0,1,0,0.3,2.4
149,Ty Chandler,MIN,RB,3,6,20,3.3,0,0,0,0,0,0,0,0.7,2
149,Keith Smith,ATL,FB,17,1,2,2,0,2,1,8,0,0,0,0.1,2
151,Trey Sermon,PHI,RB,2,2,19,9.5,0,0,0,0,0,0,0,1,1.9
151,Jason Cabinda,DET,FB,8,1,4,4,0,4,1,5,0,0,0,0.2,1.9
153,Devine Ozigbo,DEN,RB,4,3,4,1.3,0,1,1,3,0,0,0,0.4,1.7
153,Godwin Igwebuike,SEA,RB,5,3,4,1.3,0,1,1,3,0,1,0,0.3,1.7
155,Ty'Son Williams,ARI,RB,1,0,0,0,0,1,1,5,0,0,0,1.5,1.5
156,Jerome Ford,CLE,RB,13,8,12,1.5,0,0,0,0,0,0,0,0.1,1.2
157,Reggie Bonnafon,WAS,RB,1,3,8,2.7,0,0,0,0,0,0,0,0.8,0.8
158,Kylin Hill,GB,RB,2,1,7,7,0,0,0,0,0,0,0,0.4,0.7
159,Duke Johnson,BUF,RB,1,2,4,2,0,0,0,0,0,1,0,0.4,0.4
160,Damien Williams,ATL,RB,1,2,2,1,0,0,0,0,0,0,0,0.2,0.2
161,Jordan Howard,NO,RB,2,1,1,1,0,0,0,0,0,0,0,0,0.1
162,Jake Funk,IND,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
162,Khari Blasingame,CHI,FB,16,0,0,0,0,1,0,0,0,0,0,0,0
162,Brittain Brown,LV,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
162,Antonio Williams,NYG,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
162,Trenton Cannon,TEN,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
162,Tory Carter,TEN,FB,9,0,0,0,0,0,0,0,0,0,0,0,0
162,Rico Dowdle,DAL,RB,5,0,0,0,0,0,0,0,0,0,0,0,0
162,D'Vonte Price,IND,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
162,Alex Armah,WAS,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
162,Qadree Ollison,DAL,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
162,John Kelly Jr.,CLE,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
173,Taiwan Jones,BUF,RB,16,0,0,0,0,0,0,0,0,2,1,-0.1,-2